Date,Open,High,Low,Close
2016/8/1,22027.65039,23193.90039,21725.38086,22976.88086
2016/9/1,22897.16016,24364,22843.41992,23297.15039
2016/10/1,23652.83008,24064.5,22775.28906,22934.53906
2016/11/1,23015.06055,23268.05078,21957.71094,22789.76953
2016/12/1,22948.65039,23076.24023,21488.82031,22000.56055
2017/1/1,21993.35938,23397.08984,21883.82031,23360.7793
2017/2/1,23211.88086,24216.5293,22997.46094,23740.73047
2017/3/1,23849.2207,24656.65039,23438.85938,24111.58984
2017/4/1,24236.56055,24717.43945,23723.86914,24615.13086
2017/5/1,24773.80078,25817.94922,24358.7207,25660.65039
2017/6/1,25736.34961,26090.33008,25557.80078,25764.58008
2017/7/1,25654.76953,27324.38086,25199.85938,27323.99023
2017/8/1,27326.03906,28127.90039,26863.71094,27970.30078
2017/9/1,28015.2207,28248.11914,27300.36914,27554.30078
2017/10/1,27884.21094,28798.7793,27737.38086,28245.53906
2017/11/1,28387.55078,30199.68945,28137.76953,29177.34961
2017/12/1,29261.31055,29997.96094,28134.92969,29919.15039
2018/1/1,30028.28906,33484.07813,30028.28906,32887.26953
2018/2/1,32950.30078,33048.03906,29129.25977,30844.7207
2018/3/1,30476.99023,31978.14063,29819.63086,30093.38086
2018/4/1,29927.88086,31094.10938,29518.68945,30808.44922
2018/5/1,30782.21094,31592.56055,29791.86914,30468.56055
2018/6/1,30548.7793,31521.13086,28169.09961,28955.10938
2018/7/1,28617,29083.40039,27745.84961,28583.00977
2018/8/1,28756.7207,28772.80078,26871.10938,27888.55078
2018/9/1,27809.44922,28031.81055,26219.56055,27788.51953
2018/10/1,27716.16016,27716.16016,24540.63086,24979.68945
2018/11/1,25228.75,26923.33008,25092.30078,26506.75
2018/12/1,27185.66016,27260.43945,25313.75,25845.69922
2019/1/1,25824.43945,28010.90039,24896.86914,27942.4707
2019/2/1,28193.2793,29014.18945,27534.19922,28633.17969
2019/3/1,28716.59961,29486.15039,28201.08984,29051.35938
2019/4/1,29383.7207,30280.11914,29383.7207,29699.10938
2019/5/1,29643.05078,30081.55078,26850.26953,26901.08984
2019/6/1,26909.71094,28634.48047,26671.90039,28542.61914
2019/7/1,28904.03906,29007.98047,27701.43945,27777.75
2019/8/1,27582.21094,27754.03906,24899.92969,25724.73047
2019/9/1,25627.83008,27366.44922,25498.10938,26092.26953
2019/10/1,25901.4707,27027.56055,25521.94922,26906.7207
2019/11/1,26806.43945,27900.80078,26203.9707,26346.49023
2019/12/1,26475.33984,28418.65039,25995.15039,28189.75
2020/1/1,28249.36914,29174.91992,26295.49023,26312.63086
2020/2/1,26189.60938,28055.58008,25989.41016,26129.92969
2020/3/1,26077.73047,26805.58008,21139.25977,23603.48047
2020/4/1,23365.90039,24855.4707,22756.13086,24643.58984
2020/5/1,23895.10938,24766.83008,22519.73047,22961.4707
2020/6/1,23539.91016,25303.7793,23539.91016,24427.18945
2020/7/1,24563.57031,26782.61914,24526.91016,24595.34961
2020/8/1,24566.81055,25847.10938,24167.78906,25177.05078
2020/9/1,25085.66992,25254.14063,23124.25,23459.05078
2020/10/1,24039.39063,24970.58984,23674.51953,24107.41992
2020/11/1,24274.83008,27040.41016,24232.66016,26341.49023
2020/12/1,26422.71094,27340.99023,25998.86914,27231.13086
2021/1/1,27087.13086,30191.16016,27079.24023,28283.71094
2021/2/1,28457.84961,31183.35938,28382.25977,28980.21094
2021/3/1,29457.89063,29912,27505.08008,28378.34961
2021/4/1,28594.55078,29405.11914,28274.26953,28724.88086
2021/5/1,28659.91016,29336.13086,27715.88086,29151.80078
2021/6/1,29159.06055,29490.60938,28216.08984,28827.94922
2021/7/1,28859.01953,28859.01953,24748.83984,25961.0293
2021/8/1,26054.81055,26822.4707,24581.59961,25878.99023
2021/9/1,25871.82031,26560.03906,23771.46094,24575.64063
2021/10/1,24478.67969,26234.93945,23681.43945,25377.24023
2021/11/1,25268.34961,25746.71094,23175.36914,23475.25977
2021/12/1,23595.57031,24385.43945,22665.25,23397.66992
2022/1/1,23510.53906,24982.0293,22709.59961,23802.25977
2022/2/1,24392.85938,25050.58984,22406.11914,22713.01953
2022/3/1,22739.83984,22937.56055,18235.48047,21996.84961
2022/4/1,21693.09961,22523.64063,19665.49023,21089.39063
2022/5/1,20927.61914,21415.19922,19178.89063,21415.19922
2022/6/1,21407.78906,22449.31055,20697.16992,21859.78906
2022/7/1,21690.67969,22198.50977,20215.9707,20297.7207
